text,category
road full of potholes near my house,Road
big potholes causing accidents,Road
road damaged after heavy rain,Road
street completely broken in our area,Road
road condition very poor since months,Road
waterlogging on road causing traffic jam,Road
road repair work not completed,Road
main road full of holes dangerous,Road
road dug up and not fixed,Road
bad road near school causing issue,Road
road uneven and risky to drive,Road
frequent accidents due to road condition,Road
road collapsed after rain,Road
street not maintained properly,Road
road blocked due to damage,Road
broken road near hospital urgent,Road
road repair delayed from long time,Road
road very rough and dusty,Road
no proper road infrastructure,Road
road condition worst in locality,Road
road full of mud after rain,Road
potholes filled with water,Road
damaged road causing traffic problem,Road
road not repaired after construction,Road
street cracked and broken badly,Road
road sinking in some areas,Road
uneven road causing bike accidents,Road
road maintenance very poor,Road
road not usable for vehicles,Road
main road damaged badly,Road
road broken near market area,Road
bad condition of street road,Road
road filled with stones and dust,Road
road construction incomplete,Road
road very slippery after rain,Road
damaged road causing slow traffic,Road
road full of cracks and holes,Road
no proper road connectivity,Road
road condition very bad in village,Road
road repair needed urgently,Road
broken road causing vehicle damage,Road
road washed away due to rain,Road
road dug and left open,Road
potholes increasing day by day,Road
road not safe for driving,Road
road filled with garbage and mud,Road
road work stopped midway,Road
road damaged due to heavy vehicles,Road
no proper drainage on road,Road
road flooded after rain,Road
road full of dust and stones,Road
damaged road causing accidents,Road
road repair not done for years,Road
road not leveled properly,Road
road blocked due to construction,Road
road surface completely damaged,Road
road bahut kharab hai,Road
sadak toot gaya hai,Road
road me gaddhe hai,Road
,
,
no water supply since morning,Water
water not coming from tap,Water
dirty water coming from pipeline,Water
water leakage near main road,Water
low water pressure in area,Water
no drinking water available,Water
water supply irregular daily,Water
pipeline broken causing water loss,Water
muddy water coming from tap,Water
water shortage in locality,Water
no water for past 2 days,Water
water problem not solved yet,Water
leakage in water pipe urgent,Water
tap water smells bad,Water
water supply stopped suddenly,Water
water issue in our area daily,Water
not getting clean water,Water
pipeline damage causing issue,Water
water overflow due to leakage,Water
no proper water facility,Water
water not available at night,Water
water supply too low,Water
dirty water causing illness,Water
water pipe burst in street,Water
no water in apartment,Water
water problem since long time,Water
pipeline leaking continuously,Water
water shortage increasing,Water
tap water very dirty,Water
no water for drinking,Water
water pressure very weak,Water
water supply not consistent,Water
water problem in building,Water
pipeline damaged after rain,Water
water not available regularly,Water
water issue in whole area,Water
water leakage wasting water,Water
tap water contaminated,Water
no water for household use,Water
water supply disrupted daily,Water
dirty water smell very bad,Water
water problem urgent fix needed,Water
pipeline broken and leaking,Water
water not coming properly,Water
water issue not resolved,Water
no water connection working,Water
water supply very poor,Water
water shortage problem,Water
water pipe cracked,Water
no clean water available,Water
water problem severe,Water
pipeline damaged badly,Water
water supply not working,Water
water issue since morning,Water
water leakage problem serious,Water
no water in locality,Water
pani nahi aa raha,Water
pani band hai,Water
water nahi aa raha ghar me,Water
,
,
power cut since last night,Electricity
electricity not working in my area,Electricity
frequent power outage daily,Electricity
voltage fluctuation damaging appliances,Electricity
electric pole sparking dangerous,Electricity
no current since morning,Electricity
transformer not working properly,Electricity
loose wires hanging on road,Electricity
electricity gone for long hours,Electricity
high voltage issue in area,Electricity
short circuit happened nearby,Electricity
electric supply interrupted frequently,Electricity
wire broken causing danger,Electricity
power supply unstable,Electricity
electric pole tilted risky,Electricity
electricity problem not solved,Electricity
power cut during night regularly,Electricity
electricity issue in whole area,Electricity
sudden blackout happened,Electricity
no power for 2 days,Electricity
street light not working in my area,Electricity
many street lights are off,Electricity
broken street light causing darkness,Electricity
no street light on road,Electricity
street light flickering continuously,Electricity
electricity supply very poor,Electricity
no electricity for long time,Electricity
frequent power trips happening,Electricity
electric wire fallen on road,Electricity
transformer making noise,Electricity
electricity cut without notice,Electricity
power outage in locality,Electricity
electric issue not resolved,Electricity
power failure daily,Electricity
electric supply very low,Electricity
voltage too high sometimes,Electricity
electricity unstable,Electricity
street light not repaired,Electricity
electric problem in building,Electricity
no power in apartment,Electricity
electric fault not fixed,Electricity
wire damage causing sparks,Electricity
electricity gone suddenly,Electricity
power issue from last week,Electricity
electric pole damaged,Electricity
street light off at night,Electricity
power supply interrupted,Electricity
electric issue urgent fix needed,Electricity
electricity problem continuous,Electricity
no current in house,Electricity
electric system faulty,Electricity
electricity cut frequently,Electricity
power supply problem serious,Electricity
electric issue since morning,Electricity
voltage problem dangerous,Electricity
electric fault in line,Electricity
bijli chali gayi hai,Electricity
light chali gayi kal raat se,Electricity
bijli nahi aa rahi,Electricity
,
garbage not collected from days,Sanitation
dustbin overflowing near house,Sanitation
area very dirty and unhygienic,Sanitation
bad smell due to garbage,Sanitation
waste not cleared properly,Sanitation
drainage blocked causing problem,Sanitation
open drain near road,Sanitation
mosquito breeding due to dirty water,Sanitation
garbage lying on street,Sanitation
cleaning not done regularly,Sanitation
sewer overflow causing issue,Sanitation
dirty surroundings everywhere,Sanitation
waste dumped near market,Sanitation
unhygienic conditions in area,Sanitation
garbage pile increasing daily,Sanitation
drain clogged with waste,Sanitation
no sanitation service available,Sanitation
street full of waste,Sanitation
cleanliness very poor,Sanitation
bad hygiene conditions,Sanitation
garbage not picked regularly,Sanitation
drain overflow near house,Sanitation
waste causing bad smell,Sanitation
dirty water stagnation,Sanitation
garbage scattered everywhere,Sanitation
sanitation workers not coming,Sanitation
area not cleaned properly,Sanitation
sewer blockage issue,Sanitation
garbage issue not solved,Sanitation
dirty area attracting insects,Sanitation
drainage problem serious,Sanitation
garbage dumped in open,Sanitation
cleaning service very poor,Sanitation
waste management not proper,Sanitation
bad sanitation in locality,Sanitation
dirty environment everywhere,Sanitation
garbage issue from long time,Sanitation
drain blocked completely,Sanitation
sanitation problem urgent,Sanitation
area full of garbage,Sanitation
dirty surroundings unhealthy,Sanitation
waste not removed daily,Sanitation
garbage issue severe,Sanitation
drain overflowing water,Sanitation
cleaning not done daily,Sanitation
bad hygiene in area,Sanitation
garbage near road causing smell,Sanitation
dirty street condition,Sanitation
waste not handled properly,Sanitation
drain problem not solved,Sanitation
garbage lying for days,Sanitation
dirty water causing disease,Sanitation
sanitation issue not fixed,Sanitation
waste problem continuous,Sanitation
area not maintained clean,Sanitation
garbage causing pollution,Sanitation
kachra nahi uthaya,Sanitation
bahut gandagi hai area me,Sanitation
dustbin overflow ho raha hai,Sanitation

loud noise from construction site,Noise
noise pollution from traffic,Noise
loudspeaker noise disturbing at night,Noise
constant honking in area,Noise
noise from factory disturbing residents,Noise
construction noise early morning,Noise
loud music playing at night,Noise
noise from generator very high,Noise
vehicle noise causing disturbance,Noise
noise pollution near school,Noise
loud DJ sound in locality,Noise
noise from machines all day,Noise
continuous drilling noise,Noise
traffic noise unbearable,Noise
noise from nearby shop,Noise
sound disturbance at night,Noise
loud noise affecting sleep,Noise
noise from public event,Noise
heavy vehicle noise disturbing,Noise
constant loud sound in area,Noise
construction noise disturbing daily,Noise
loud horn noise everywhere,Noise
noise from vehicles nonstop,Noise
sound pollution very high,Noise
noise from loudspeaker daily,Noise
disturbing noise from neighbors,Noise
noise problem not solved,Noise
continuous sound from machines,Noise
noise level very high,Noise
loud sound from event,Noise
noise disturbing students,Noise
loud construction work noise,Noise
noise pollution serious issue,Noise
constant noise from road,Noise
disturbing sound at night,Noise
noise issue in locality,Noise
loud music disturbing sleep,Noise
noise from traffic signals,Noise
heavy sound from trucks,Noise
noise causing headache,Noise
sound pollution increasing,Noise
noise from nearby building work,Noise
continuous loud sound problem,Noise
noise not controlled properly,Noise
loudspeaker used at night,Noise
noise issue severe,Noise
sound disturbance all day,Noise
noise from industrial area,Noise
noise affecting health,Noise
loud noise from celebration,Noise
noise problem continuous,Noise
disturbing loud sounds,Noise
noise from construction work,Noise
sound pollution near house,Noise
noise issue urgent fix needed,Noise
noise unbearable in area,Noise
bahut shor ho raha hai,Noise
loud music chal raha hai,Noise
noise disturb kar raha hai,Noise
